product_id,product_type,manufacturer_name,location,contact_info
1,Sensor,GE Aviation,"Evendale, OH, USA",services@geaviation.com
2,Propeller,Boeing,"Chicago, IL, USA",contact@boeing.com
3,Sensor,Rolls-Royce,"London, UK",queries@rolls-royce.com
4,Aircraft Lighting,Raytheon Technologies,"Waltham, MA, USA",info@raytheon.com
5,Exhaust System,Raytheon Technologies,"Waltham, MA, USA",info@raytheon.com
6,Fuel Meter,GE Aviation,"Evendale, OH, USA",services@geaviation.com
7,Avionics,Rolls-Royce,"London, UK",queries@rolls-royce.com
8,Aircraft Brake,Pratt & Whitney,"East Hartford, CT, USA",help@prattwhitney.com
9,Aircraft Generator,Raytheon Technologies,"Waltham, MA, USA",info@raytheon.com
10,Aircraft Battery,GE Aviation,"Evendale, OH, USA",services@geaviation.com
11,Aircraft Generator,Honeywell Aerospace,"Charlotte, NC, USA",aero@honeywell.com
12,Aircraft Brake,GE Aviation,"Evendale, OH, USA",services@geaviation.com
13,Avionics,Honeywell Aerospace,"Charlotte, NC, USA",aero@honeywell.com
14,Avionics,Boeing,"Chicago, IL, USA",contact@boeing.com
15,Aircraft Lighting,Raytheon Technologies,"Waltham, MA, USA",info@raytheon.com
16,Exhaust System,Raytheon Technologies,"Waltham, MA, USA",info@raytheon.com
17,Propeller,Safran,"Paris, France",contact@safran-group.com
18,Navigation System,Raytheon Technologies,"Waltham, MA, USA",info@raytheon.com
19,Propeller,Boeing,"Chicago, IL, USA",contact@boeing.com
20,Propeller,Boeing,"Chicago, IL, USA",contact@boeing.com
21,Engine,Boeing,"Chicago, IL, USA",contact@boeing.com
22,Exhaust System,Pratt & Whitney,"East Hartford, CT, USA",help@prattwhitney.com
23,Aircraft Brake,GE Aviation,"Evendale, OH, USA",services@geaviation.com
24,Exhaust System,Raytheon Technologies,"Waltham, MA, USA",info@raytheon.com
25,Aircraft Lighting,Pratt & Whitney,"East Hartford, CT, USA",help@prattwhitney.com
26,Propeller,Pratt & Whitney,"East Hartford, CT, USA",help@prattwhitney.com
27,Aircraft Battery,Rolls-Royce,"London, UK",queries@rolls-royce.com
28,Turbine Blade,GE Aviation,"Evendale, OH, USA",services@geaviation.com
29,Aircraft Battery,Raytheon Technologies,"Waltham, MA, USA",info@raytheon.com
30,Flight Control System,Boeing,"Chicago, IL, USA",contact@boeing.com
31,Aircraft Brake,Pratt & Whitney,"East Hartford, CT, USA",help@prattwhitney.com
32,Aircraft Alternator,Safran,"Paris, France",contact@safran-group.com
33,Turbine Blade,Boeing,"Chicago, IL, USA",contact@boeing.com
34,Aircraft Lighting,GE Aviation,"Evendale, OH, USA",services@geaviation.com
35,Turbine Blade,Airbus,"Toulouse, France",contact@airbus.com
36,Engine,Honeywell Aerospace,"Charlotte, NC, USA",aero@honeywell.com
37,Aircraft Generator,Raytheon Technologies,"Waltham, MA, USA",info@raytheon.com
38,Aircraft Generator,Airbus,"Toulouse, France",contact@airbus.com
39,Hydraulic Pump,Honeywell Aerospace,"Charlotte, NC, USA",aero@honeywell.com
40,Avionics,Safran,"Paris, France",contact@safran-group.com
41,Aircraft Brake,Raytheon Technologies,"Waltham, MA, USA",info@raytheon.com
42,Aircraft Antenna,Honeywell Aerospace,"Charlotte, NC, USA",aero@honeywell.com
43,Aircraft Battery,Pratt & Whitney,"East Hartford, CT, USA",help@prattwhitney.com
44,Aircraft Lighting,Safran,"Paris, France",contact@safran-group.com
45,Fuel Meter,Rolls-Royce,"London, UK",queries@rolls-royce.com
