engine_id,engine_model,engine_type,component_name,component_type,manufacture_date
1,CFM56-5B,Turbofan,High Pressure Turbine,High Pressure Turbine System,2018-08-03
2,Trent 700,Turbofan,Fan Blade,Fan Blade System,2018-06-18
3,F110,Jet,Valve,Valve System,1991-03-29
4,TPE331,Prop,Turbine Blade,Turbine Blade System,2000-11-24
5,J85,Jet,Thrust Reverser,Thrust Reverser System,2005-06-13
6,AE2100D2,Prop,Turbocharger,Turbocharger System,2016-10-18
7,PT6A-68,Prop,Fuel Controller,Fuel Controller System,2010-04-06
8,Pratt & Whitney F135,Jet,Fan Blade,Fan Blade System,2015-05-29
9,General Electric J85,Jet,Starter,Starter System,2003-05-20
10,Trent 700,Turbofan,Combustion Chamber,Combustion Chamber System,1995-08-18
11,General Electric F110,Jet,Starter,Starter System,2011-06-12
12,GE90-115B,Turbofan,Exhaust Case,Exhaust Case System,1992-08-14
13,V2500,Turbofan,Fan Blade,Fan Blade System,1994-08-20
14,V2500,Turbofan,Gearbox,Gearbox System,1997-01-18
15,Pratt & Whitney F135,Jet,Valve,Valve System,1996-10-04
16,PT6A-67R,Prop,Propeller Blade,Propeller Blade System,1994-11-11
17,General Electric F110,Jet,Sensor,Sensor System,2016-04-17
18,CFM56-5B,Turbofan,Gearbox,Gearbox System,2006-05-31
19,J85,Jet,Fan Blade,Fan Blade System,2002-07-08
20,PT6A-21,Prop,Turbocharger,Turbocharger System,2009-05-03
21,PT6A-21,Prop,Turbocharger,Turbocharger System,2005-05-01
22,TPE331-10,Prop,Compressor Blade,Compressor Blade System,2005-03-13
23,PT6A-21,Prop,Turbocharger,Turbocharger System,2016-06-08
24,AE2100D2,Prop,Fuel Nozzle,Fuel Nozzle System,2016-07-07
25,Rolls-Royce RB211,Jet,Starter,Starter System,2013-09-11
26,AE2100D2,Prop,Reduction Gearbox,Reduction Gearbox System,2020-03-23
27,RB211,Jet,Afterburner,Afterburner System,2022-10-24
28,GE Aviation H80,Prop,Turbine Blade,Turbine Blade System,1995-06-04
